feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
ocf_trend_4q_rank,0.004262588199359843,0.0016896952615036778,0.0010316805091511107,0.0015167151445499099,0.0014553773065244275,0.0019492853766405196,0.0013640460067981706,0.0021984482919044706,0.002822272601223114,0.002644965506745235,0.0032333048693657792,0.004153117817825514,0.009659357162473662,0.01055109092429119,0.0060236712578697945,0.0097769862396544,0.008131396913236512
mom_12_2_rank,0.004165991084715455,0.005432042076185919,0.0041532105810461965,0.0033721995471310885,0.0034300475137808025,0.0033829535789934155,0.0034063359968675836,0.004115391277600064,0.006641716049233892,0.005211837171515904,0.004089768517342034,0.00454948012663784,0.0042813072994265945,0.003137396658752658,0.0034416040745870805,0.003974521792827401,0.004036045093518804
revenue_consistency_12q_rank,0.004118822198049013,0.0020190280139601507,0.0008846411150708008,0.0009209878798433529,0.000801841275228801,0.001133573985053473,0.002578001143407196,0.004314460416217345,0.005883395420914754,0.004488066599103474,0.004730486579405439,0.00893445391113583,0.006339661867570096,0.0074109540043655,0.006073968889640806,0.004910460637834046,0.004477173430033154
ext_financing_to_assets_rank,0.003820058293931095,0.004839056184172849,0.005298119877857565,0.003522966055539709,0.0034404107066853015,0.0031992294567180428,0.003973316118051511,0.004692944837051481,0.0037781025723545576,0.0037594904551848767,0.0042338448823115386,0.004087512239170662,0.0034258001613915456,0.003688771083069152,0.0033390754732943997,0.0027859775638644398,0.0030563150361798963
tangibles_consistency_20q_rank,0.0037536072179293343,0.004574052354963104,0.003419559049713846,0.004282888325805008,0.0037940570260891963,0.004412960246067779,0.0036045164022047143,0.0038890412415513733,0.0030714735271190423,0.0034112421509517386,0.003065813936457483,0.003128152663955024,0.005570706198887913,0.003853030458536286,0.004074866272686201,0.002752183540124522,0.003153172091756118
ev_to_marketcap_rank,0.0036998018411911705,0.004929017743936868,0.003668468328449204,0.0022051348194232,0.003863888704615816,0.0027643800291889432,0.003728749494541233,0.003853410332705929,0.003337270354318308,0.004431852778428837,0.003799685270607453,0.004001656527849924,0.0030321300846205042,0.0038867997498864496,0.0044844503658058935,0.0036746773881918683,0.0035352574864883028
current_ratio_rank,0.003699315477342129,0.005731309958810839,0.0046899322958836595,0.00325820496437649,0.0048764245992165434,0.0019995836842692685,0.0038735510972316835,0.005844200154108186,0.008532859547654448,0.007988566696120346,0.0023640951549942306,0.0006550961152184171,0.0016818379732863075,0.00225793115063116,0.0013226942962051944,0.0021667513160033795,0.0019460086334639186
cfo_to_assets_rank,0.0036850483925615295,0.0037569316137790894,0.0021377855573539483,0.0014681441564350192,0.0021496961703322158,0.0030217304346102447,0.0023515589929455315,0.004097536767084838,0.0040092581587311,0.00514392184078499,0.004172152478799788,0.0036239599953986567,0.0035614212618214247,0.0044167383931318785,0.005236990857325496,0.004485009986478635,0.005327937615971618
marketcap_to_liabilities_rank,0.003680320487287135,0.005931878714188637,0.003301523419434955,0.0030086075625743347,0.0029683625049902363,0.003162235738613067,0.002964297980190153,0.0029997236503967284,0.002528662406501927,0.004646189083724214,0.0030628343638726047,0.0028154224036315055,0.0030069144776374798,0.004449002258847209,0.0046979418781337,0.004561695300789637,0.004779836053067766
debt_to_equity_rank,0.0032564131722984425,0.0058149223085425805,0.005083945537564379,0.004668546811757439,0.003704652670046805,0.003268615086331612,0.003841571751147968,0.0029590041287517127,0.003439992813557725,0.002628089639541947,0.002507643462658698,0.0027766326455907816,0.0028926182266518297,0.0027804051897234094,0.0018333386734894603,0.0016693863624947943,0.0022332454489239375
quick_ratio_rank,0.0031957557122086026,0.004286357618912525,0.005073298915266528,0.0033984142507120243,0.003322639238355048,0.0029849490945683395,0.004205871828894507,0.0038360420681332872,0.0036765239088912154,0.003921367449095086,0.002316413508271751,0.003143536346520332,0.0028353603156769124,0.001650502256162283,0.0028296710934337314,0.0015855892768540415,0.002065554225590032
revenue_trend_12q_rank,0.0030748061995131363,0.0038270880287724963,0.0027918661453524814,0.002851707261640338,0.002551641531452082,0.0017505212624115592,0.0018139737449432162,0.0036890303182150657,0.003804205048186772,0.002423898171945281,0.003571729749712945,0.006071332163097884,0.003969657659773889,0.002700631280296591,0.0027479307490086407,0.0024291295182431033,0.0022025565591578295
rnd_to_assets_rank,0.002970620504005063,0.003042883695265359,0.0023426159267480235,0.002198497568164491,0.0023450428167890737,0.003306437849484011,0.003851155819721231,0.0034178952111276703,0.0032458942768055572,0.0033003967634675506,0.0035183582404271015,0.0027769791784233405,0.0023979393236460604,0.0027000826901666867,0.0026518341270163953,0.0030847685422720618,0.003349146034556394
